Channel Names
Fp1
AF3
AF7
Fz
F1
F3
F5
F7
FC1
FC3
FC5
FT7
Cz
C1
C3
C5
T7
CP1
CP3
CP5
TP7
TP9
Pz
P1
P3
P5
P7
PO3
PO7
Oz
O1
Fpz
Fp2
AF4
AF8
F2
F4
F6
F8
FC2
FC4
FC6
FT8
C2
C4
C6
T8
CPz
CP2
CP4
CP6
TP8
TP10
P2
P4
P6
P8
POz
PO4
PO8
O2
